contract,status,wall clock time (h:)m:ss,input-type,abi,state_max_code_size,execs,bugs,coverage,state_average_storage_size,queue,run_unix,state_max_storage_size,bugtypes,state_accounts,crashes,execs_per_sec,state_average_code_size,wall clock time (h:)m:ss
0xf2160f59910011efb571676114fb78207521385f,failure,,,False,,,,,,,,,,,,,,
0x000417937ea0286b9dc650274aaafcc7e3e7aedf,success,0:00.45,live-state,False,308.0,4800.0,"[BUG] selfdestruct DoS | selfdestruct to address 0xbdca97324da3f6e5df8c66ad67d62eea0ba6e57
[BUG] selfdestruct DoS | selfdestruct to address 0xbdca97324da3f6e5df8c66ad67d62eea0ba6e57",66.66666666666667,0.5,29,0.0,1,1,2,2,4800.0,154.0,0:00.45
0x0013e723f574bafd47cc1542532cdcd98c1c2989,success,0:00.44,live-state,False,80.0,6009.0,[BUG] balance gain | 37662610412320084583014736539245998496614132666784207078376 > 37662610412320084583014736539245998496614132666784207077376,100.0,0.0,41,0.0,0,1,1,1,6009.0,80.0,0:00.44
0x001f1df70e3c0c2ace58b7244fe502e3ce3f9bf4,success,0:00.24,live-state,False,1522.0,2089.0,"[BUG] selfdestruct DoS | selfdestruct to address 0x9d1f0f8292eb9f5c210653cf56a1339f5d450b15
[BUG] selfdestruct DoS | selfdestruct to address 0x9d1f0f8292eb9f5c210653cf56a1339f5d450b15
[BUG] selfdestruct DoS | selfdestruct to address 0x9d1f0f8292eb9f5c210653cf56a1339f5d450b15
[BUG] selfdestruct DoS | selfdestruct to address 0x9d1f0f8292eb9f5c210653cf56a1339f5d450b15
[BUG] selfdestruct DoS | selfdestruct to address 0x9d1f0f8292eb9f5c210653cf56a1339f5d450b15",83.05084745762713,1.375,26,0.0,11,1,8,5,2089.0,190.25,0:00.24
0x002444b927fbe4a4b6bbb051480e1c3be3086b55,success,0:54.06,live-state,False,863.0,843382.0,"[BUG] balance gain | 37662610412320084583014736539245998496614132666784207077377 > 37662610412320084583014736539245998496614132666784207077376
[BUG] balance gain | 37662610412320084583014736539245998496614132666784207077377 > 37662610412320084583014736539245998496614132666784207077376",83.33333333333334,0.0,259,54.0,0,1,1,2,15618.185185185184,863.0,0:54.06
0x005a4dd900ecc1b792f0c729342c4111426db7e0,success,0:00.23,live-state,False,2398.0,2469.0,"[BUG] selfdestruct DoS | selfdestruct to address 0x39afc3556daa4d11a0a8f16ec1a490cd84aa6945
[BUG] selfdestruct DoS | selfdestruct to address 0x39afc3556daa4d11a0a8f16ec1a490cd84aa6945
[BUG] selfdestruct DoS | selfdestruct to address 0x39afc3556daa4d11a0a8f16ec1a490cd84aa6945
[BUG] selfdestruct DoS | selfdestruct to address 0x39afc3556daa4d11a0a8f16ec1a490cd84aa6945",81.60919540229885,1.5,61,0.0,3,1,2,4,2469.0,1199.0,0:00.23
0x007a926e26c80556937008786811de90ccd8bb96,success,0:00.22,live-state,False,284.0,3363.0,"[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d
[BUG] selfdestruct DoS | selfdestruct to address 0xc04689c0c5d48cec7275152b3026b53f6f78d03d
[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d
[BUG] selfdestruct DoS | selfdestruct to address 0xc04689c0c5d48cec7275152b3026b53f6f78d03d
[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d
[BUG] selfdestruct DoS | selfdestruct to address 0xc04689c0c5d48cec7275152b3026b53f6f78d03d
[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d
[BUG] selfdestruct DoS | selfdestruct to address 0xc04689c0c5d48cec7275152b3026b53f6f78d03d
[BUG] balance gain | 37662610412320084583014736539245998496650132666784207077376 > 37662610412320084583014736539245998496614132666784207077376",56.52173913043478,0.0,20,0.0,0,3,1,4,3363.0,284.0,0:00.22
0x00a159d41a5bc12dce2f8aca8e5bb5beb8f6abc8,success,0:00.02,live-state,False,1590.0,28.0,"[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d
[BUG] selfdestruct DoS | selfdestruct to address 0xc04689c0c5d48cec7275152b3026b53f6f78d03d",20.51282051282051,2.3333333333333335,3,0.0,5,2,3,1,28.0,1189.6666666666667,0:00.02
0x00ab3500f37d28335fb43f23fc9e8ae39e482295,success,0:00.44,live-state,False,4101.0,4312.0,"[BUG] selfdestruct DoS | selfdestruct to address 0x8848ff7d264f5bf31271677fde819ab8242ad5ba
[BUG] selfdestruct DoS | selfdestruct to address 0x8848ff7d264f5bf31271677fde819ab8242ad5ba
[BUG] selfdestruct DoS | selfdestruct to address 0x8848ff7d264f5bf31271677fde819ab8242ad5ba
[BUG] selfdestruct DoS | selfdestruct to address 0x8848ff7d264f5bf31271677fde819ab8242ad5ba
[BUG] selfdestruct DoS | selfdestruct to address 0x8848ff7d264f5bf31271677fde819ab8242ad5ba
[BUG] selfdestruct DoS | selfdestruct to address 0x8848ff7d264f5bf31271677fde819ab8242ad5ba
[BUG] selfdestruct DoS | selfdestruct to address 0x8848ff7d264f5bf31271677fde819ab8242ad5ba
[BUG] selfdestruct DoS | selfdestruct to address 0x8848ff7d264f5bf31271677fde819ab8242ad5ba
[BUG] selfdestruct DoS | selfdestruct to address 0x8848ff7d264f5bf31271677fde819ab8242ad5ba
[BUG] selfdestruct DoS | selfdestruct to address 0x8848ff7d264f5bf31271677fde819ab8242ad5ba
[BUG] selfdestruct DoS | selfdestruct to address 0x8848ff7d264f5bf31271677fde819ab8242ad5ba
[BUG] selfdestruct DoS | selfdestruct to address 0x8848ff7d264f5bf31271677fde819ab8242ad5ba
[BUG] selfdestruct DoS | selfdestruct to address 0x8848ff7d264f5bf31271677fde819ab8242ad5ba",65.0,0.5,110,0.0,1,1,2,13,4312.0,2050.5,0:00.44
0x00b12ec5eefa368f68124d25695e88e43959ab4f,success,0:59.32,live-state,False,8879.0,984882.0,[BUG] balance gain | 37662610412320084583014736539245998496614132666784207077377 > 37662610412320084583014736539245998496614132666784207077376,72.77777777777777,2.0,420,59.0,8,1,4,1,16692.915254237287,2219.75,0:59.32
0x00b1914164d61de190e3b377cd3e3a5ec27e345d,success,0:00.22,live-state,False,978.0,1621.0,"[BUG] selfdestruct DoS | selfdestruct to address 0x8b9346aa412b52954b5138dbb72adab97273766e
[BUG] selfdestruct DoS | selfdestruct to address 0x8b9346aa412b52954b5138dbb72adab97273766e
[BUG] selfdestruct DoS | selfdestruct to address 0x8b9346aa412b52954b5138dbb72adab97273766e
[BUG] selfdestruct DoS | selfdestruct to address 0x8b9346aa412b52954b5138dbb72adab97273766e
[BUG] selfdestruct DoS | selfdestruct to address 0x8b9346aa412b52954b5138dbb72adab97273766e
[BUG] selfdestruct DoS | selfdestruct to address 0x8b9346aa412b52954b5138dbb72adab97273766e
[BUG] selfdestruct DoS | selfdestruct to address 0x8b9346aa412b52954b5138dbb72adab97273766e
[BUG] selfdestruct DoS | selfdestruct to address 0x8b9346aa412b52954b5138dbb72adab97273766e
[BUG] selfdestruct DoS | selfdestruct to address 0x8b9346aa412b52954b5138dbb72adab97273766e
[BUG] selfdestruct DoS | selfdestruct to address 0x8b9346aa412b52954b5138dbb72adab97273766e
[BUG] selfdestruct DoS | selfdestruct to address 0x8b9346aa412b52954b5138dbb72adab97273766e
[BUG] selfdestruct DoS | selfdestruct to address 0x8b9346aa412b52954b5138dbb72adab97273766e
[BUG] selfdestruct DoS | selfdestruct to address 0x8b9346aa412b52954b5138dbb72adab97273766e
[BUG] selfdestruct DoS | selfdestruct to address 0x8b9346aa412b52954b5138dbb72adab97273766e
[BUG] selfdestruct DoS | selfdestruct to address 0x8b9346aa412b52954b5138dbb72adab97273766e",77.14285714285715,2.0,51,0.0,4,1,2,15,1621.0,489.0,0:00.22
0x00c587f231765be012b5b9f462fdca8b1d83421e,success,0:00.22,live-state,False,476.0,2048.0,"[BUG] selfdestruct DoS | selfdestruct to address 0x8848ff7d264f5bf31271677fde819ab8242ad5ba
[BUG] selfdestruct DoS | selfdestruct to address 0x8848ff7d264f5bf31271677fde819ab8242ad5ba
[BUG] selfdestruct DoS | selfdestruct to address 0x8848ff7d264f5bf31271677fde819ab8242ad5ba
[BUG] selfdestruct DoS | selfdestruct to address 0x8848ff7d264f5bf31271677fde819ab8242ad5ba
[BUG] selfdestruct DoS | selfdestruct to address 0x8848ff7d264f5bf31271677fde819ab8242ad5ba
[BUG] selfdestruct DoS | selfdestruct to address 0x8848ff7d264f5bf31271677fde819ab8242ad5ba
[BUG] selfdestruct DoS | selfdestruct to address 0x8848ff7d264f5bf31271677fde819ab8242ad5ba
[BUG] selfdestruct DoS | selfdestruct to address 0x8848ff7d264f5bf31271677fde819ab8242ad5ba
[BUG] selfdestruct DoS | selfdestruct to address 0x8848ff7d264f5bf31271677fde819ab8242ad5ba
[BUG] selfdestruct DoS | selfdestruct to address 0x8848ff7d264f5bf31271677fde819ab8242ad5ba
[BUG] selfdestruct DoS | selfdestruct to address 0x8848ff7d264f5bf31271677fde819ab8242ad5ba
[BUG] selfdestruct DoS | selfdestruct to address 0x8848ff7d264f5bf31271677fde819ab8242ad5ba
[BUG] selfdestruct DoS | selfdestruct to address 0x8848ff7d264f5bf31271677fde819ab8242ad5ba
[BUG] selfdestruct DoS | selfdestruct to address 0x8848ff7d264f5bf31271677fde819ab8242ad5ba
[BUG] selfdestruct DoS | selfdestruct to address 0x8848ff7d264f5bf31271677fde819ab8242ad5ba
[BUG] selfdestruct DoS | selfdestruct to address 0x8848ff7d264f5bf31271677fde819ab8242ad5ba
[BUG] selfdestruct DoS | selfdestruct to address 0x8848ff7d264f5bf31271677fde819ab8242ad5ba
[BUG] selfdestruct DoS | selfdestruct to address 0x8848ff7d264f5bf31271677fde819ab8242ad5ba",85.71428571428571,0.5,63,0.0,1,1,2,18,2048.0,238.0,0:00.22
0x00d140ddb6dbffb6d6fd476a8b5cbb1f44bb6eea,success,0:00.23,live-state,False,1388.0,2918.0,"[BUG] selfdestruct DoS | selfdestruct to address 0x8b9346aa412b52954b5138dbb72adab97273766e
[BUG] selfdestruct DoS | selfdestruct to address 0x8b9346aa412b52954b5138dbb72adab97273766e
[BUG] selfdestruct DoS | selfdestruct to address 0x8b9346aa412b52954b5138dbb72adab97273766e
[BUG] selfdestruct DoS | selfdestruct to address 0x8b9346aa412b52954b5138dbb72adab97273766e
[BUG] selfdestruct DoS | selfdestruct to address 0x8b9346aa412b52954b5138dbb72adab97273766e
[BUG] selfdestruct DoS | selfdestruct to address 0x8b9346aa412b52954b5138dbb72adab97273766e
[BUG] selfdestruct DoS | selfdestruct to address 0x8b9346aa412b52954b5138dbb72adab97273766e",51.42857142857143,2.0,37,0.0,2,1,1,7,2918.0,1388.0,0:00.23
0x0139f01cb6f0a4430d8275b006ed17478262ffce,success,0:08.38,live-state,False,328.0,106814.0,[BUG] balance gain | 37662610412320084583014736539245998496614132666784207077405 > 37662610412320084583014736539245998496614132666784207077376,100.0,0.5,190,8.0,1,1,2,1,13351.75,252.0,0:08.38
0x013e9dd035fa99c46431bc4a7f9a3e3f66abad00,success,0:33.17,live-state,False,328.0,340979.0,[BUG] balance gain | 37662610412320084583014736539245998496614132666784207077408 > 37662610412320084583014736539245998496614132666784207077376,100.0,0.5,241,33.0,1,1,2,1,10332.69696969697,252.0,0:33.17
0x0184c04e2cf22c615a47212d0123b546c2a2eb0c,success,0:08.29,live-state,False,328.0,117996.0,[BUG] balance gain | 37662610412320084583014736539245998496624132666784207077376 > 37662610412320084583014736539245998496614132666784207077376,100.0,0.5,189,8.0,1,1,2,1,14749.5,252.0,0:08.29
0x018723e858f970fed7ce1b0ff2e1822f4ae6f8c2,success,0:00.23,live-state,False,1522.0,2509.0,"[BUG] selfdestruct DoS | selfdestruct to address 0x9d1f0f8292eb9f5c210653cf56a1339f5d450b15
[BUG] selfdestruct DoS | selfdestruct to address 0x9d1f0f8292eb9f5c210653cf56a1339f5d450b15
[BUG] selfdestruct DoS | selfdestruct to address 0x9d1f0f8292eb9f5c210653cf56a1339f5d450b15
[BUG] selfdestruct DoS | selfdestruct to address 0x9d1f0f8292eb9f5c210653cf56a1339f5d450b15
[BUG] selfdestruct DoS | selfdestruct to address 0x9d1f0f8292eb9f5c210653cf56a1339f5d450b15
[BUG] selfdestruct DoS | selfdestruct to address 0x9d1f0f8292eb9f5c210653cf56a1339f5d450b15
[BUG] selfdestruct DoS | selfdestruct to address 0x9d1f0f8292eb9f5c210653cf56a1339f5d450b15",83.05084745762713,1.375,28,0.0,11,1,8,7,2509.0,190.25,0:00.23
0x01ade83a7ac7d13ab01f322d68bc2f8fe371ed27,success,0:29.85,live-state,False,530.0,361456.0,[BUG] balance gain | 37662610412320084583014736539245998496614132666784207077377 > 37662610412320084583014736539245998496614132666784207077376,100.0,0.5,201,29.0,1,1,2,1,12464.0,265.0,0:29.85
0x020049e559516761c474f97c6d80bf8f817d6bec,success,0:15.89,live-state,False,328.0,247001.0,[BUG] balance gain | 37662610412320084583014736539245998496614132666784207077403 > 37662610412320084583014736539245998496614132666784207077376,100.0,0.5,223,15.0,1,1,2,1,16466.733333333334,252.0,0:15.89
0x0231cba985fa0a04dc2bd8818b780d51d451cb91,success,0:14.91,live-state,False,328.0,206417.0,[BUG] balance gain | 37662610412320084583014736539245998496614132666784207077439 > 37662610412320084583014736539245998496614132666784207077376,100.0,0.5,220,14.0,1,1,2,1,14744.07142857143,252.0,0:14.91
0x024426ed156142bfe24f54fad7a26625e8942dd9,success,0:00.24,live-state,False,1322.0,1983.0,"[BUG] selfdestruct DoS | selfdestruct to address 0x47a8033cc6d6ca2ed5044674fd421f44884de8
[BUG] selfdestruct DoS | selfdestruct to address 0x47a8033cc6d6ca2ed5044674fd421f44884de8",57.142857142857146,3.6666666666666665,26,0.0,6,1,3,2,1983.0,854.0,0:00.24
0x024503588e59c25218729bb6cb5f0b25ae3393da,success,0:00.24,live-state,False,2114.0,1423.0,"[BUG] selfdestruct DoS | selfdestruct to address 0x8b9346aa412b52954b5138dbb72adab97273766e
[BUG] selfdestruct DoS | selfdestruct to address 0x8b9346aa412b52954b5138dbb72adab97273766e
[BUG] selfdestruct DoS | selfdestruct to address 0x8b9346aa412b52954b5138dbb72adab97273766e
[BUG] selfdestruct DoS | selfdestruct to address 0x8b9346aa412b52954b5138dbb72adab97273766e
[BUG] selfdestruct DoS | selfdestruct to address 0x8b9346aa412b52954b5138dbb72adab97273766e
