contract,mode,status,evm-coverage,total_execs_done,bugs,bugtypes,wall clock time (h:)m:ss,crashes - Number of unique TX sequences,time,queue - Number of unique TX sequences,total_time,total_hangs,total_crashes,cumulative_execs_per_sec,average_execs_per_sec,hardcoded address,log
justlen128,mode-2AT,success,82.64462809917356,4860517,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,1,4:54.37,1,284,216,284,0,1,17114,17114,1,<NO LOG>
justlen128,mode-2AT,success,82.64462809917356,4130774,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,1,3:16.43,1,186,207,186,0,1,22208,22208,1,<NO LOG>
justlen128,mode-2AT,success,82.64462809917356,2840005,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,1,1:48.97,1,99,203,99,0,1,28686,28686,1,<NO LOG>
justlen128,mode-2AT,success,81.81818181818183,1601709,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,1,1:14.49,1,65,172,65,0,1,24641,24641,1,<NO LOG>
justlen128,mode-2AT,success,81.81818181818183,1914915,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,1,1:37.68,1,87,198,87,0,1,22010,22010,1,<NO LOG>
justlen128,mode-2AT,success,82.64462809917356,3880592,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,1,3:15.94,1,186,208,186,0,1,20863,20863,1,<NO LOG>
justlen128,mode-2AT,success,81.81818181818183,3412000,"[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d
[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d",1,2:34.13,1,144,203,144,0,2,23694,23694,1,<NO LOG>
justlen128,mode-2AT,success,82.64462809917356,5082096,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,1,4:04.97,1,235,211,235,0,1,21625,21625,1,<NO LOG>
justlen128,mode-2AT,success,82.64462809917356,3551457,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,1,3:10.97,1,180,224,180,0,1,19730,19730,1,<NO LOG>
justlen128,mode-2AT,success,82.64462809917356,4637977,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,1,4:00.48,1,230,208,230,0,1,20165,20165,1,<NO LOG>
justlen256,mode-2AT,success,91.74311926605503,2446552,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,1,2:20.84,1,131,190,131,0,1,18675,18675,1,<NO LOG>
justlen256,mode-2AT,success,91.74311926605503,3830037,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,1,10:41.58,1,631,198,631,0,1,6069,6069,1,<NO LOG>
justlen256,mode-2AT,success,91.74311926605503,7261018,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,1,6:22.90,1,372,226,372,0,1,19518,19518,1,<NO LOG>
justlen256,mode-2AT,success,91.74311926605503,3486411,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,1,2:22.25,1,132,192,132,0,1,26412,26412,1,<NO LOG>
justlen256,mode-2AT,success,91.74311926605503,1711883,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,1,2:27.17,1,137,189,137,0,1,12495,12495,1,<NO LOG>
justlen256,mode-2AT,success,89.90825688073394,868367,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,1,0:47.08,1,37,152,37,0,1,23469,23469,1,<NO LOG>
justlen256,mode-2AT,success,91.74311926605503,3144265,"[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d
[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d",1,3:22.94,2,192,198,192,0,2,16376,16376,1,<NO LOG>
justlen256,mode-2AT,success,91.74311926605503,2158632,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,1,4:41.31,1,271,186,271,0,1,7965,7965,1,<NO LOG>
justlen256,mode-2AT,success,91.74311926605503,3657760,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,1,3:22.41,1,192,207,192,0,1,19050,19050,1,<NO LOG>
justlen256,mode-2AT,success,91.74311926605503,2809881,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,1,1:53.69,1,103,204,103,0,1,27280,27280,1,<NO LOG>
justlen64,mode-2AT,success,78.125,1629746,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,1,1:37.36,1,87,190,87,0,1,18732,18732,1,<NO LOG>
justlen64,mode-2AT,success,78.125,3387365,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,1,2:27.49,1,137,200,137,0,1,24725,24725,1,<NO LOG>
justlen64,mode-2AT,success,78.125,2188325,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,1,2:03.57,1,113,180,113,0,1,19365,19365,1,<NO LOG>
justlen64,mode-2AT,success,77.34375,1220947,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,1,1:04.54,1,55,172,55,0,1,22199,22199,1,<NO LOG>
justlen64,mode-2AT,success,77.34375,1501501,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,1,1:39.06,1,89,190,89,0,1,16870,16870,1,<NO LOG>
justlen64,mode-2AT,success,78.125,2652289,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,1,1:56.18,1,106,197,106,0,1,25021,25021,1,<NO LOG>
justlen64,mode-2AT,success,78.125,3156112,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,1,2:10.88,1,121,193,121,0,1,26083,26083,1,<NO LOG>
justlen64,mode-2AT,success,77.34375,904964,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,1,0:48.29,1,39,155,39,0,1,23204,23204,1,<NO LOG>
justlen64,mode-2AT,success,78.125,3079291,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,1,3:04.20,1,174,189,174,0,1,17697,17697,1,<NO LOG>
justlen64,mode-2AT,success,77.34375,2091622,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,1,2:05.95,1,116,190,116,0,1,18031,18031,1,<NO LOG>
justlen8,mode-2AT,success,87.61061946902656,657095,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,1,0:35.09,1,26,157,26,0,1,25272,25272,1,<NO LOG>
justlen8,mode-2AT,success,78.76106194690266,107962,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,1,0:12.02,1,3,108,3,0,1,35987,35987,1,<NO LOG>
justlen8,mode-2AT,success,82.30088495575222,300684,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,1,0:22.39,1,13,120,13,0,1,23129,23129,1,<NO LOG>
justlen8,mode-2AT,success,82.30088495575222,233714,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,1,0:17.77,1,9,113,9,0,1,25968,25968,1,<NO LOG>
justlen8,mode-2AT,success,82.30088495575222,510393,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,1,0:27.44,1,18,140,18,0,1,28355,28355,1,<NO LOG>
