contract,mode,status,crashes - Number of unique TX sequences,total_execs_done,queue - Number of unique TX sequences,cumulative_execs_per_sec,hardcoded address,total_hangs,evm-coverage,total_time,bugs,total_crashes,bugtypes,average_execs_per_sec,wall clock time (h:)m:ss,time,log
justlen128,mode-2AT,success,1,4012761,910,170919,1,0,82.64462809917356,188,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,1,1,21364,0:48.47,24,<NO LOG>
justlen128,mode-2AT,success,1,1883769,756,148451,1,0,82.64462809917356,100,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,1,1,18556,0:35.96,13,<NO LOG>
justlen128,mode-2AT,success,1,3108168,815,176194,1,0,82.64462809917356,141,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,1,1,22024,0:42.35,18,<NO LOG>
justlen128,mode-2AT,success,2,4085402,940,200734,1,0,82.64462809917356,163,"[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d
[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d",2,1,25091,0:46.55,21,<NO LOG>
justlen128,mode-2AT,success,1,3666250,968,170030,1,0,82.64462809917356,173,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,1,1,21253,0:46.84,22,<NO LOG>
justlen128,mode-2AT,success,2,3383018,865,165310,1,0,82.64462809917356,163,"[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d
[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d",2,1,20663,0:45.59,19,<NO LOG>
justlen128,mode-2AT,success,7,4543098,943,204847,1,0,82.64462809917356,177,"[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d
[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d
[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d
[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d
[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d
[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d
[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d
[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d",8,1,25605,0:51.12,23,<NO LOG>
justlen128,mode-2AT,success,1,2913056,890,165027,1,0,82.64462809917356,141,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,1,1,20628,0:42.29,18,<NO LOG>
justlen128,mode-2AT,success,2,5715308,1037,207821,1,0,82.64462809917356,220,"[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d
[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d",2,1,25977,0:51.51,25,<NO LOG>
justlen128,mode-2AT,success,1,3143785,825,178263,1,0,82.64462809917356,141,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,1,1,22282,0:41.63,18,<NO LOG>
justlen256,mode-2AT,success,1,4915596,1007,251658,1,0,91.74311926605503,156,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,1,1,31457,0:44.18,20,<NO LOG>
justlen256,mode-2AT,success,1,3757913,899,224981,1,0,91.74311926605503,133,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,1,1,28122,0:40.08,17,<NO LOG>
justlen256,mode-2AT,success,1,1885897,782,244764,1,0,91.74311926605503,61,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,1,1,30595,0:32.30,8,<NO LOG>
justlen256,mode-2AT,success,2,6902440,1043,218033,1,0,91.74311926605503,253,"[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d
[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d",2,1,27254,0:58.13,32,<NO LOG>
justlen256,mode-2AT,success,1,5208344,901,229658,1,0,91.74311926605503,181,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,1,1,28707,0:48.00,23,<NO LOG>
justlen256,mode-2AT,success,1,2736831,874,216655,1,0,91.74311926605503,101,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,1,1,27081,0:35.55,13,<NO LOG>
justlen256,mode-2AT,success,1,2852524,855,225418,1,0,91.74311926605503,101,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,1,1,28177,0:36.22,13,<NO LOG>
