contract,mode,status,hardcoded address,crashes -,total_execs_done,crashes - Number of unique TX sequences,bugtypes,time,bugs,queue - Number of unique TX sequences,cumulative_execs_per_sec,wall clock time (h:)m:ss,evm-coverage,total_crashes,average_execs_per_sec,total_hangs,total_time,log
justlen128,mode-2AT,success,1,,2664311,2,1,106,"[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d
[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d",204,25135,1:56.97,82.64462809917356,2,25135,0,106,<NO LOG>
justlen128,mode-2AT,success,1,,2359011,1,1,129,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,192,18286,2:19.41,82.64462809917356,1,18286,0,129,<NO LOG>
justlen128,mode-2AT,success,1,,2853528,1,1,96,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,186,29724,1:45.90,82.64462809917356,1,29724,0,96,<NO LOG>
justlen128,mode-2AT,success,1,,2675326,1,1,95,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,195,28161,1:45.16,82.64462809917356,1,28161,0,95,<NO LOG>
justlen128,mode-2AT,success,1,,3586408,1,1,120,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,195,29886,2:10.26,82.64462809917356,1,29886,0,120,<NO LOG>
justlen128,mode-2AT,success,1,,1384675,1,1,98,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,182,14129,1:47.71,81.81818181818183,1,14129,0,98,<NO LOG>
justlen128,mode-2AT,success,1,,3434365,1,1,126,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,182,27256,2:16.33,81.81818181818183,1,27256,0,126,<NO LOG>
justlen128,mode-2AT,success,1,,1863066,1,1,70,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,189,26615,1:19.78,82.64462809917356,1,26615,0,70,<NO LOG>
justlen128,mode-2AT,success,1,,3638850,1,1,171,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,190,21279,3:00.88,82.64462809917356,1,21279,0,171,<NO LOG>
justlen128,mode-2AT,success,1,,4083628,2,1,191,"[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d
[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d",207,21380,3:21.22,82.64462809917356,2,21380,0,191,<NO LOG>
justlen128,mode-aonly,success,1,,102446764,1,1,25696,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,249,3986,7:08:28,82.64462809917356,1,3986,0,25696,<NO LOG>
justlen128,mode-aonly,success,1,,24977563,1,1,1355,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,125,18433,22:45.53,82.64462809917356,1,18433,0,1355,<NO LOG>
justlen128,mode-aonly,success,1,,59080934,1,1,7627,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,234,7746,2:07:23,81.81818181818183,1,7746,0,7627,<NO LOG>
justlen128,mode-aonly,success,1,,55650166,1,1,4341,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,223,12819,1:12:34,82.64462809917356,1,12819,0,4341,<NO LOG>
