contract,mode,status,cumulative_execs_per_sec,total_crashes,evm-coverage,total_hangs,total_execs_done,crashes - Number of unique TX sequences,queue - Number of unique TX sequences,time,average_execs_per_sec,bugs,total_time,bugtypes,hardcoded address,wall clock time (h:)m:ss,log
justlen128,mode-noabi,success,21107,1,82.64462809917356,0,6395524,1,196,303,21107,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,303,1,1,5:13.25,<NO LOG>
justlen128,mode-noabi,success,22740,1,82.64462809917356,0,4775464,1,186,210,22740,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,210,1,1,3:40.41,<NO LOG>
justlen128,mode-noabi,success,14120,1,82.64462809917356,0,4575063,1,184,324,14120,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,324,1,1,5:34.99,<NO LOG>
justlen128,mode-noabi,success,23112,1,82.64462809917356,0,4507014,1,187,195,23112,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,195,1,1,3:25.50,<NO LOG>
justlen128,mode-noabi,success,15701,1,81.81818181818183,0,4773144,1,178,304,15701,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,304,1,1,5:14.46,<NO LOG>
justlen128,mode-noabi,success,15021,1,82.64462809917356,0,5888609,1,171,392,15021,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,392,1,1,6:42.43,<NO LOG>
justlen128,mode-noabi,success,15680,1,82.64462809917356,0,7448387,1,204,475,15680,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,475,1,1,8:05.44,<NO LOG>
justlen128,mode-noabi,success,19932,5,82.64462809917356,0,6577641,3,196,330,19932,"[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d
[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d
[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d
[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d
[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d",330,1,1,5:41.54,<NO LOG>
justlen128,mode-noabi,success,18573,1,82.64462809917356,0,6444924,1,189,347,18573,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,347,1,1,5:57.25,<NO LOG>
justlen128,mode-noabi,success,11462,1,82.64462809917356,0,6820310,1,210,595,11462,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,595,1,1,10:06.13,<NO LOG>
justlen256,mode-noabi,success,16411,1,91.74311926605503,0,6728571,1,198,410,16411,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,410,1,1,7:00.72,<NO LOG>
justlen256,mode-noabi,success,3877,1,90.82568807339449,0,5276842,1,193,1361,3877,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,1361,1,1,22:52.45,<NO LOG>
justlen256,mode-noabi,success,11595,1,91.74311926605503,0,8603654,1,205,742,11595,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,742,1,1,12:32.41,<NO LOG>
justlen256,mode-noabi,success,9631,1,91.74311926605503,0,3505726,1,168,364,9631,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,364,1,1,6:14.53,<NO LOG>
justlen256,mode-noabi,success,22720,2,91.74311926605503,0,7361505,1,209,324,22720,"[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d
[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d",324,1,1,5:35.53,<NO LOG>
justlen256,mode-noabi,success,11601,1,91.74311926605503,0,6461980,1,196,557,11601,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,557,1,1,9:28.10,<NO LOG>
justlen256,mode-noabi,success,25164,1,91.74311926605503,0,8128184,1,218,323,25164,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,323,1,1,5:34.56,<NO LOG>
justlen256,mode-noabi,success,15252,1,91.74311926605503,0,7412820,1,182,486,15252,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,486,1,1,8:16.90,<NO LOG>
justlen256,mode-noabi,success,5015,1,91.74311926605503,0,7903710,1,214,1576,5015,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,1576,1,1,26:27.79,<NO LOG>
justlen256,mode-noabi,success,1126,1,91.74311926605503,0,8258828,1,202,7332,1126,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,7332,1,1,2:02:25,<NO LOG>
justlen64,mode-noabi,success,8918,1,78.125,0,7223990,1,200,810,8918,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,810,1,1,13:40.85,<NO LOG>
justlen64,mode-noabi,success,22072,1,78.125,0,6577581,1,203,298,22072,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,298,1,1,5:08.06,<NO LOG>
justlen64,mode-noabi,success,23626,1,78.125,0,4276346,1,186,181,23626,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,181,1,1,3:11.37,<NO LOG>
justlen64,mode-noabi,success,22903,1,78.125,0,6962766,1,194,304,22903,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,304,1,1,5:14.51,<NO LOG>
justlen64,mode-noabi,success,19213,2,78.125,0,7089807,1,208,369,19213,"[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d
[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d",369,1,1,6:19.33,<NO LOG>
justlen64,mode-noabi,success,15635,1,77.34375,0,9193500,1,218,588,15635,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,588,1,1,9:58.68,<NO LOG>
justlen64,mode-noabi,success,22896,2,78.125,0,5312066,2,202,232,22896,"[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d
[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d",232,1,1,4:02.11,<NO LOG>
justlen64,mode-noabi,success,17188,1,78.125,0,7081824,1,216,412,17188,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,412,1,1,7:02.82,<NO LOG>
justlen64,mode-noabi,success,20737,1,78.125,0,9269784,1,204,447,20737,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,447,1,1,7:37.70,<NO LOG>
justlen64,mode-noabi,success,20889,1,78.125,0,2611138,1,162,125,20889,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,125,1,1,2:15.27,<NO LOG>
justlen8,mode-noabi,success,25451,2,88.49557522123895,0,4759355,1,184,187,25451,"[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d
[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d",187,1,1,3:16.72,<NO LOG>
justlen8,mode-noabi,success,26526,1,88.49557522123895,0,2440422,1,134,92,26526,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,92,1,1,1:41.29,<NO LOG>
justlen8,mode-noabi,success,7864,1,88.49557522123895,0,4970255,1,193,632,7864,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,632,1,1,10:42.38,<NO LOG>
justlen8,mode-noabi,success,27163,1,88.49557522123895,0,3667120,1,154,135,27163,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,135,1,1,2:24.55,<NO LOG>
justlen8,mode-noabi,success,24570,1,88.49557522123895,0,1547970,1,128,63,24570,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,63,1,1,1:11.95,<NO LOG>
justlen8,mode-noabi,success,26575,2,88.49557522123895,0,3481396,2,159,131,26575,"[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d
[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d",131,1,1,2:21.26,<NO LOG>
