contract,mode,status,time,average_execs_per_sec,queue - Number of unique TX sequences,total_time,cumulative_execs_per_sec,total_hangs,total_execs_done,evm-coverage,hardcoded address,wall clock time (h:)m:ss,total_crashes,bugs,bugtypes,crashes - Number of unique TX sequences,log
justlen128,mode-2AT,success,523,18228,191,523,18228,0,9533428,81.81818181818183,1,8:48.37,1,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,1,1,<NO LOG>
justlen128,mode-2AT,success,23591,21693,258,23591,21693,0,511764469,82.64462809917356,1,6:33:16,1,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,1,1,<NO LOG>
justlen128,mode-2AT,success,3657,18598,229,3657,18598,0,68013106,81.81818181818183,1,1:01:02,1,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,1,1,<NO LOG>
justlen128,mode-2AT,success,14771,21285,270,14771,21285,0,314411357,82.64462809917356,1,4:06:16,3,"[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d
[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d
[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d",1,1,<NO LOG>
justlen128,mode-2AT,success,683,18897,187,683,18897,0,12906679,82.64462809917356,1,11:27.85,1,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,1,1,<NO LOG>
justlen128,mode-2AT,success,7783,19237,260,7783,19237,0,149723849,82.64462809917356,1,2:09:48,1,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,1,1,<NO LOG>
justlen128,mode-2AT,success,5808,21837,231,5808,21837,0,126834238,82.64462809917356,1,1:36:52,1,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,1,1,<NO LOG>
justlen128,mode-2AT,success,279,20366,169,279,20366,0,5682271,81.81818181818183,1,4:43.91,1,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,1,1,<NO LOG>
justlen128,mode-2AT,success,6215,20354,234,6215,20354,0,126502445,82.64462809917356,1,1:43:39,1,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,1,1,<NO LOG>
justlen128,mode-2AT,success,46,21505,179,46,21505,0,989264,82.64462809917356,1,0:50.43,2,"[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d
[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d",1,2,<NO LOG>
justlen256,mode-2AT,success,1278,17748,205,1278,17748,0,22682495,90.82568807339449,1,21:23.40,1,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,1,1,<NO LOG>
justlen256,mode-2AT,success,2969,19062,225,2969,19062,0,56596084,91.74311926605503,1,49:35.16,2,"[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d
[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d",1,1,<NO LOG>
justlen256,mode-2AT,success,2957,23497,230,2957,23497,0,69482328,91.74311926605503,1,49:22.15,1,[BUG] controlled selfdestruct | selfdestruct to attacker 0xc04689c0c5d48cec7275152b3026b53f6f78d03d,1,1,<NO LOG>
