contract,mode,status,evm-coverage,average_execs_per_sec,time,total_hangs,hardcoded address,total_crashes,crashes -,total_execs_done,wall clock time (h:)m:ss,queue - Number of unique TX sequences,total_time,bugtypes,bugs,cumulative_execs_per_sec,log
IMBTC,mode-2AT,success,53.33333333333333,7459,1800,0,1,0,0,13427564,30:19.12,402,1800,1,,7459,<NO LOG>
IMBTC,mode-2AT,success,53.33333333333333,8825,1800,0,1,0,0,15886257,30:12.48,399,1800,1,,8825,<NO LOG>
IMBTC,mode-2AT,success,53.33333333333333,7321,1800,0,1,0,0,13179355,30:18.69,422,1800,1,,7321,<NO LOG>
IMBTC,mode-2AT,success,53.33333333333333,7200,1800,0,1,0,0,12960775,30:17.98,413,1800,1,,7200,<NO LOG>
IMBTC,mode-2AT,success,53.33333333333333,6906,1800,0,1,0,0,12431466,30:20.68,429,1800,1,,6906,<NO LOG>
IMBTC,mode-2AT,success,53.33333333333333,6930,1800,0,1,0,0,12474216,30:19.81,414,1800,1,,6930,<NO LOG>
IMBTC,mode-2AT,success,53.33333333333333,7544,1800,0,1,0,0,13579787,30:18.14,397,1800,1,,7544,<NO LOG>
IMBTC,mode-2AT,success,53.33333333333333,7683,1800,0,1,0,0,13829886,30:18.23,399,1800,1,,7683,<NO LOG>
IMBTC,mode-2AT,success,53.33333333333333,6419,1800,0,1,0,0,11554807,30:18.12,417,1800,1,,6419,<NO LOG>
IMBTC,mode-2AT,success,53.33333333333333,6942,1800,0,1,0,0,12496479,30:17.91,412,1800,1,,6942,<NO LOG>
IMBTC,mode-aonly,success,51.75438596491228,12457,1800,0,1,0,0,22422804,30:15.81,207,1800,1,,12457,<NO LOG>
IMBTC,mode-aonly,success,51.57894736842105,13312,1800,0,1,0,0,23961990,30:12.64,188,1800,1,,13312,<NO LOG>
IMBTC,mode-aonly,success,52.280701754385966,14580,1800,0,1,0,0,26244729,30:09.63,192,1800,1,,14580,<NO LOG>
IMBTC,mode-aonly,success,49.473684210526315,11594,1800,0,1,0,0,20869627,30:10.79,194,1800,1,,11594,<NO LOG>
IMBTC,mode-aonly,success,50.87719298245614,15110,1800,0,1,0,0,27199281,30:10.33,208,1800,1,,15110,<NO LOG>
IMBTC,mode-aonly,success,52.45614035087719,14453,1800,0,1,0,0,26016728,30:10.59,199,1800,1,,14453,<NO LOG>
IMBTC,mode-aonly,success,50.526315789473685,9994,1800,0,1,0,0,17989268,30:24.32,193,1800,1,,9994,<NO LOG>
IMBTC,mode-aonly,success,50.87719298245614,14887,1800,0,1,0,0,26798320,30:10.76,190,1800,1,,14887,<NO LOG>
IMBTC,mode-aonly,success,52.80701754385965,12676,1800,0,1,0,0,22818180,30:11.30,169,1800,1,,12676,<NO LOG>
IMBTC,mode-aonly,success,51.05263157894737,15154,1800,0,1,0,0,27278595,30:10.74,224,1800,1,,15154,<NO LOG>
IMBTC,mode-interp,success,35.614035087719294,1078,1800,0,1,0,0,1941257,30:20.25,242,1800,1,,1078,<NO LOG>
IMBTC,mode-interp,success,38.421052631578945,1049,1800,0,1,0,0,1889984,30:21.93,252,1800,1,,1049,<NO LOG>
IMBTC,mode-interp,success,38.07017543859649,874,1800,0,1,0,0,1573427,30:30.47,255,1800,1,,874,<NO LOG>
IMBTC,mode-interp,success,34.56140350877193,1377,1800,0,1,0,0,2478815,30:14.95,233,1800,1,,1377,<NO LOG>
IMBTC,mode-interp,success,37.719298245614034,1055,1800,0,1,0,0,1899106,30:24.26,254,1800,1,,1055,<NO LOG>
IMBTC,mode-interp,success,37.368421052631575,875,1800,0,1,0,0,1575460,30:20.79,246,1800,1,,875,<NO LOG>
IMBTC,mode-interp,success,35.26315789473684,1609,1800,0,1,0,0,2897180,30:15.06,229,1800,1,,1609,<NO LOG>
IMBTC,mode-interp,success,37.368421052631575,851,1800,0,1,0,0,1532328,30:18.21,242,1800,1,,851,<NO LOG>
IMBTC,mode-interp,success,37.01754385964912,836,1800,0,1,0,0,1506274,30:22.01,239,1800,1,,836,<NO LOG>
IMBTC,mode-interp,success,35.78947368421053,900,1800,0,1,0,0,1620012,30:17.11,242,1800,1,,900,<NO LOG>
IMBTC,mode-monly,success,35.08771929824561,4165,1800,0,1,0,0,7498078,30:16.74,229,1800,1,,4165,<NO LOG>
IMBTC,mode-monly,success,36.14035087719298,4987,1800,0,1,0,0,8977449,30:18.67,246,1800,1,,4987,<NO LOG>
