contract,mode,status,evm-coverage,bugtypes,total_time,crashes -,hardcoded address,wall clock time (h:)m:ss,time,total_hangs,queue - Number of unique TX sequences,total_crashes,average_execs_per_sec,bugs,total_execs_done,cumulative_execs_per_sec,log
CryptoBets,mode-2AT,success,38.629737609329446,1,600,0,17,10:15.31,600,5,209,0,3220,,1932341,3220,<NO LOG>
CryptoBets,mode-2AT,success,40.670553935860056,1,600,0,17,10:19.69,600,6,258,0,17514,,10508866,17514,<NO LOG>
CryptoBets,mode-2AT,success,40.96209912536443,1,600,0,17,10:20.42,600,3,304,0,19318,,11591200,19318,<NO LOG>
CryptoBets,mode-2AT,success,39.50437317784257,1,600,0,17,10:15.75,600,5,293,0,18251,,10950945,18251,<NO LOG>
CryptoBets,mode-2AT,success,41.10787172011661,1,600,0,17,10:23.08,600,4,221,0,9866,,5919872,9866,<NO LOG>
CryptoBets,mode-2AT,success,42.12827988338192,1,600,0,17,10:19.27,600,5,290,0,16436,,9861880,16436,<NO LOG>
CryptoBets,mode-2AT,success,42.27405247813411,1,600,0,17,10:23.89,600,4,303,0,16551,,9931169,16551,<NO LOG>
CryptoBets,mode-2AT,success,39.795918367346935,1,600,0,17,10:13.92,600,3,209,0,4524,,2714609,4524,<NO LOG>
CryptoBets,mode-2AT,success,37.90087463556851,1,600,0,17,10:15.90,600,3,173,0,2245,,1347186,2245,<NO LOG>
CryptoBets,mode-2AT,success,42.857142857142854,1,600,0,17,10:20.63,600,6,318,0,16160,,9696388,16160,<NO LOG>
CryptoBets,mode-2AT,success,39.795918367346935,1,600,0,17,10:18.95,600,8,281,0,15213,,9128337,15213,<NO LOG>
CryptoBets,mode-2AT,success,37.46355685131195,1,600,0,17,10:14.09,600,3,180,0,3560,,2136008,3560,<NO LOG>
CryptoBets,mode-2AT,success,39.50437317784257,1,600,0,17,10:14.23,600,5,247,0,12078,,7247344,12078,<NO LOG>
CryptoBets,mode-2AT,success,42.12827988338192,1,600,0,17,10:22.64,600,5,374,0,19941,,11964851,19941,<NO LOG>
CryptoBets,mode-2AT,success,42.27405247813411,1,600,0,17,10:26.45,600,5,265,0,11209,,6725535,11209,<NO LOG>
CryptoBets,mode-2AT,success,39.795918367346935,1,600,0,17,10:16.71,600,6,279,0,14313,,8587911,14313,<NO LOG>
