contract,status,wall clock time (h:)m:ss,input-type,abi,execs,wall clock time (h:)m:ss,coverage,execs_per_sec,queue,bugtypes,crashes,run_unix,bugs
0x03C18D649E743Ee0b09f28a81D33575F03af9826,success,25:00.10,,True,44083608.0,25:00.10,62.85714285714286,29389.072,1195,1,,1500.0,
0x03C18D649E743Ee0b09f28a81D33575F03af9826,success,25:00.08,,True,19535852.0,25:00.08,62.85714285714286,13023.901333333333,829,1,,1500.0,
0x03C18D649E743Ee0b09f28a81D33575F03af9826,success,20:00.10,,True,23967044.0,20:00.10,62.6984126984127,19972.536666666667,787,1,,1200.0,
0x1257F00e0333d7c9F9c87aBF1DCE6e373A6492F6,success,25:00.03,,True,50016583.0,25:00.03,63.63636363636363,33344.388666666666,455,1,,1500.0,
0x1257F00e0333d7c9F9c87aBF1DCE6e373A6492F6,success,25:00.05,,True,58401616.0,25:00.05,63.63636363636363,38934.41066666667,429,1,,1500.0,
0x1257F00e0333d7c9F9c87aBF1DCE6e373A6492F6,success,25:00.03,,True,60057548.0,25:00.03,63.63636363636363,40038.365333333335,421,1,,1500.0,
0x2880F03F181Ee0967a00BAC5346574f58F91B615,success,25:00.04,,True,37754917.0,25:00.04,78.33333333333334,25169.944666666666,605,1,,1500.0,
0x2880F03F181Ee0967a00BAC5346574f58F91B615,success,20:00.06,,True,37297895.0,20:00.06,78.33333333333334,31081.579166666666,652,1,,1200.0,
0x2880F03F181Ee0967a00BAC5346574f58F91B615,success,25:00.07,,True,38107993.0,25:00.07,78.33333333333334,25405.328666666668,734,1,,1500.0,
0x2AD1cE69Ea75a79F6070394a1b712dB14965e3b4,success,25:00.06,,True,30547196.0,25:00.06,73.17073170731707,20364.797333333332,356,1,,1500.0,
0x2AD1cE69Ea75a79F6070394a1b712dB14965e3b4,success,20:00.07,,True,29892243.0,20:00.07,73.17073170731707,24910.2025,339,1,,1200.0,
0x2AD1cE69Ea75a79F6070394a1b712dB14965e3b4,success,25:00.07,,True,32348538.0,25:00.07,73.17073170731707,21565.692,370,1,,1500.0,
0x2D52D1517f47e1AB7be6377a1f11fbd2C49978dB,success,25:00.10,,True,13968871.0,25:00.10,57.4561403508772,9312.580666666667,372,1,,1500.0,
0x2D52D1517f47e1AB7be6377a1f11fbd2C49978dB,success,25:00.06,,True,25592708.0,25:00.06,57.4561403508772,17061.805333333334,481,1,,1500.0,
0x2D52D1517f47e1AB7be6377a1f11fbd2C49978dB,success,20:00.03,,True,7389578.0,20:00.03,57.4561403508772,6157.981666666667,312,1,,1200.0,
0x3B1c6004e43bF49c521eB382dEc02e6c3fF5272a,success,20:00.06,,True,32608486.0,20:00.06,90.82568807339449,27173.738333333335,562,1,,1200.0,
0x3B1c6004e43bF49c521eB382dEc02e6c3fF5272a,success,25:00.08,,True,32928895.0,25:00.08,90.82568807339449,21952.596666666668,805,1,,1500.0,
0x3B1c6004e43bF49c521eB382dEc02e6c3fF5272a,success,25:00.07,,True,31595959.0,25:00.07,90.82568807339449,21063.97266666667,559,1,,1500.0,
0x3aD4FAD3CE0509475E5B4f597C53cbA38873cC46,success,25:00.07,,True,40235057.0,25:00.07,92.15686274509804,26823.371333333333,1016,1,,1500.0,
0x3aD4FAD3CE0509475E5B4f597C53cbA38873cC46,success,20:00.10,,True,42684488.0,20:00.10,92.15686274509804,35570.40666666667,910,1,,1200.0,
0x3aD4FAD3CE0509475E5B4f597C53cbA38873cC46,success,25:00.09,,True,41461944.0,25:00.09,92.15686274509804,27641.296,972,1,,1500.0,
0x463f235748bc7862DEaA04d85b4B16AC8faFEF39,success,13:30.99,,True,13618428.0,13:30.99,64.70588235294117,16812.874074074072,384,1,1,810.0,[BUG] balance gain | 239693551632642 wei (compare total 37662610412320084583014736539245998496614132906477758710018 > 37662610412320084583014736539245998496614132666784207077376 wei expected)
0x463f235748bc7862DEaA04d85b4B16AC8faFEF39,success,6:30.70,,True,8252992.0,6:30.70,64.70588235294117,21161.51794871795,347,1,2,390.0,"[BUG] balance gain | 96 wei (compare total 37662610412320084583014736539245998496614132666784207077472 > 37662610412320084583014736539245998496614132666784207077376 wei expected)
[BUG] balance gain | 96 wei (compare total 37662610412320084583014736539245998496614132666784207077472 > 37662610412320084583014736539245998496614132666784207077376 wei expected)"
