tool,contract,txlength,trial,runtime,bugfound
confuzzius,justlen,128,1,50635.491409,selfdestruct
confuzzius,justlen,128,10,2355.772385,selfdestruct
confuzzius,justlen,128,2,17315.331477,selfdestruct
confuzzius,justlen,128,3,31375.889389,selfdestruct
confuzzius,justlen,128,4,19000.837816,selfdestruct
confuzzius,justlen,128,5,172832.024877,None
confuzzius,justlen,128,6,79839.780936,selfdestruct
confuzzius,justlen,128,7,6830.677052,selfdestruct
confuzzius,justlen,128,8,4698.874186,selfdestruct
confuzzius,justlen,128,9,18687.091279,selfdestruct
confuzzius,justlen,256,1,172824.808152,None
confuzzius,justlen,256,10,111298.587279,selfdestruct
confuzzius,justlen,256,2,138016.351849,selfdestruct
confuzzius,justlen,256,3,45892.018711,selfdestruct
confuzzius,justlen,256,4,172804.225531,None
confuzzius,justlen,256,5,8452.967808,selfdestruct
confuzzius,justlen,256,6,172817.304852,None
confuzzius,justlen,256,7,7171.21977,selfdestruct
confuzzius,justlen,256,8,172815.022726,None
confuzzius,justlen,256,9,13979.67877,selfdestruct
confuzzius,justlen,64,1,32797.576503,selfdestruct
confuzzius,justlen,64,10,20920.981013,selfdestruct
confuzzius,justlen,64,2,19023.663305,selfdestruct
confuzzius,justlen,64,3,14664.762649,selfdestruct
confuzzius,justlen,64,4,162745.853998,selfdestruct
confuzzius,justlen,64,5,1138.952919,selfdestruct
confuzzius,justlen,64,6,11480.717653,selfdestruct
confuzzius,justlen,64,7,687.411404,selfdestruct
confuzzius,justlen,64,8,8701.25577,selfdestruct
confuzzius,justlen,64,9,7548.789573,selfdestruct
confuzzius,justlen,8,1,1067.354673,selfdestruct
confuzzius,justlen,8,10,951.613923,selfdestruct
confuzzius,justlen,8,2,203.077274,selfdestruct
confuzzius,justlen,8,3,590.619957,selfdestruct
confuzzius,justlen,8,4,592.730072,selfdestruct
confuzzius,justlen,8,5,1106.435897,selfdestruct
confuzzius,justlen,8,6,321.472394,selfdestruct
confuzzius,justlen,8,7,178.157837,selfdestruct
confuzzius,justlen,8,8,738.600765,selfdestruct
confuzzius,justlen,8,9,1751.351566,selfdestruct
confuzzius,multi_gen,10,1,172828.92561,None
confuzzius,multi_gen,10,10,172834.029694,None
confuzzius,multi_gen,10,2,172826.996327,None
confuzzius,multi_gen,10,3,172826.341328,None
confuzzius,multi_gen,10,4,172804.05217,None
