tool,contract,txlength,trial,runtime,bugfound
confuzzius,justlen,128,1,18774.018313,selfdestruct
confuzzius,justlen,128,10,14823.310117,selfdestruct
confuzzius,justlen,128,2,6026.810137,selfdestruct
confuzzius,justlen,128,3,23541.840979,selfdestruct
confuzzius,justlen,128,4,817.585281,selfdestruct
confuzzius,justlen,128,5,19212.370628,selfdestruct
confuzzius,justlen,128,6,19732.24607,selfdestruct
confuzzius,justlen,128,7,12297.607585,selfdestruct
confuzzius,justlen,128,8,6262.528462,selfdestruct
confuzzius,justlen,128,9,3582.186183,selfdestruct
confuzzius,justlen,256,1,116358.163361,selfdestruct
confuzzius,justlen,256,10,29749.561065,selfdestruct
confuzzius,justlen,256,2,39176.934975,selfdestruct
confuzzius,justlen,256,3,172813.907873,None
confuzzius,justlen,256,4,108532.685178,selfdestruct
confuzzius,justlen,256,5,134794.82798,selfdestruct
confuzzius,justlen,256,6,172816.461101,None
confuzzius,justlen,256,7,172817.446905,None
confuzzius,justlen,256,8,146074.746658,selfdestruct
confuzzius,justlen,256,9,41197.398271,selfdestruct
confuzzius,justlen,64,1,18457.123003,selfdestruct
confuzzius,justlen,64,10,9493.448458,selfdestruct
confuzzius,justlen,64,2,301.007187,selfdestruct
confuzzius,justlen,64,3,7338.818245,selfdestruct
confuzzius,justlen,64,4,10069.732149,selfdestruct
confuzzius,justlen,64,5,353.801611,selfdestruct
confuzzius,justlen,64,6,10502.914375,selfdestruct
confuzzius,justlen,64,7,3472.149576,selfdestruct
confuzzius,justlen,64,8,15987.83503,selfdestruct
confuzzius,justlen,64,9,5433.202069,selfdestruct
confuzzius,justlen,8,1,2140.339506,selfdestruct
confuzzius,justlen,8,10,1288.464353,selfdestruct
confuzzius,justlen,8,2,311.836909,selfdestruct
confuzzius,justlen,8,3,1055.19267,selfdestruct
confuzzius,justlen,8,4,339.650254,selfdestruct
confuzzius,justlen,8,5,136.817224,selfdestruct
confuzzius,justlen,8,6,728.178666,selfdestruct
confuzzius,justlen,8,7,2466.932001,selfdestruct
confuzzius,justlen,8,8,443.487556,selfdestruct
confuzzius,justlen,8,9,104.973079,selfdestruct
confuzzius,multi_gen,10,1,172824.034755,None
confuzzius,multi_gen,10,10,172824.227709,None
confuzzius,multi_gen,10,2,172823.887092,None
confuzzius,multi_gen,10,3,172825.352348,None
confuzzius,multi_gen,10,4,172826.587172,None
confuzzius,multi_gen,10,5,172825.268238,None
confuzzius,multi_gen,10,6,172819.893572,None
confuzzius,multi_gen,10,7,172820.270101,None
confuzzius,multi_gen,10,8,172819.941454,None
confuzzius,multi_gen,10,9,172821.507816,None
confuzzius,multi_gen,2,1,35.996709,selfdestruct
confuzzius,multi_gen,2,10,35.401005,selfdestruct
confuzzius,multi_gen,2,2,27.370665,selfdestruct
confuzzius,multi_gen,2,3,28.908732,selfdestruct
confuzzius,multi_gen,2,4,93.902442,selfdestruct
confuzzius,multi_gen,2,5,23.066773,selfdestruct
confuzzius,multi_gen,2,6,64.844949,selfdestruct
confuzzius,multi_gen,2,7,55.871594,selfdestruct
confuzzius,multi_gen,2,8,93.152698,selfdestruct
confuzzius,multi_gen,2,9,44.962173,selfdestruct
confuzzius,multi_gen,3,1,55.756792,selfdestruct
confuzzius,multi_gen,3,10,45.436108,selfdestruct
confuzzius,multi_gen,3,2,14.166045,selfdestruct
confuzzius,multi_gen,3,3,97.142875,selfdestruct
confuzzius,multi_gen,3,4,113.16012,selfdestruct
confuzzius,multi_gen,3,5,181.168179,selfdestruct
confuzzius,multi_gen,3,6,15.328983,selfdestruct
confuzzius,multi_gen,3,7,146.059255,selfdestruct
confuzzius,multi_gen,3,8,88.077732,selfdestruct
confuzzius,multi_gen,3,9,48.119475,selfdestruct
confuzzius,multi_gen,4,1,9482.365943,selfdestruct
confuzzius,multi_gen,4,10,850.652363,selfdestruct
confuzzius,multi_gen,4,2,806.154947,selfdestruct
confuzzius,multi_gen,4,3,792.61,selfdestruct
confuzzius,multi_gen,4,4,836.436644,selfdestruct
confuzzius,multi_gen,4,5,341.505948,selfdestruct
confuzzius,multi_gen,4,6,172821.805964,None
confuzzius,multi_gen,4,7,274.735199,selfdestruct
confuzzius,multi_gen,4,8,117.650509,selfdestruct
confuzzius,multi_gen,4,9,172827.949593,None
confuzzius,multi_gen,5,1,1917.362157,selfdestruct
confuzzius,multi_gen,5,10,164.686243,selfdestruct
confuzzius,multi_gen,5,2,426.157671,selfdestruct
confuzzius,multi_gen,5,3,485.254444,selfdestruct
confuzzius,multi_gen,5,4,13714.154902,selfdestruct
confuzzius,multi_gen,5,5,276.972113,selfdestruct
confuzzius,multi_gen,5,6,547.963911,selfdestruct
confuzzius,multi_gen,5,7,1335.984934,selfdestruct
confuzzius,multi_gen,5,8,59311.053007,selfdestruct
confuzzius,multi_gen,5,9,1895.426057,selfdestruct
confuzzius,multi_gen,6,1,172823.73214,None
confuzzius,multi_gen,6,10,29406.311643,selfdestruct
confuzzius,multi_gen,6,2,4494.504799,selfdestruct
confuzzius,multi_gen,6,3,172824.767031,None
confuzzius,multi_gen,6,4,172822.611044,None
confuzzius,multi_gen,6,5,172825.091967,None
confuzzius,multi_gen,6,6,172822.548636,None
confuzzius,multi_gen,6,7,172821.850576,None
confuzzius,multi_gen,6,8,172819.168191,None
confuzzius,multi_gen,6,9,172827.960916,None
confuzzius,multi_gen,7,1,172821.979678,None
confuzzius,multi_gen,7,10,172833.812295,None
confuzzius,multi_gen,7,2,140906.025621,selfdestruct
confuzzius,multi_gen,7,3,50297.515007,selfdestruct
confuzzius,multi_gen,7,4,73407.161723,selfdestruct
confuzzius,multi_gen,7,5,172822.301704,None
confuzzius,multi_gen,7,6,172817.200931,None
confuzzius,multi_gen,7,7,172827.316213,None
confuzzius,multi_gen,7,8,172816.310974,None
confuzzius,multi_gen,7,9,172841.511298,None
confuzzius,multi_gen,8,1,172819.772578,None
confuzzius,multi_gen,8,10,172819.128427,None
confuzzius,multi_gen,8,2,172822.095604,None
confuzzius,multi_gen,8,3,172821.875875,None
confuzzius,multi_gen,8,4,172825.696389,None
confuzzius,multi_gen,8,5,172823.584057,None
confuzzius,multi_gen,8,6,172820.371947,None
confuzzius,multi_gen,8,7,172819.820284,None
confuzzius,multi_gen,8,8,172819.696119,None
confuzzius,multi_gen,8,9,172824.454518,None
confuzzius,multi_gen,9,1,172823.194954,None
confuzzius,multi_gen,9,10,172837.637489,None
confuzzius,multi_gen,9,2,172826.11031,None
confuzzius,multi_gen,9,3,172820.256344,None
confuzzius,multi_gen,9,4,172823.282916,None
confuzzius,multi_gen,9,5,172818.200067,None
confuzzius,multi_gen,9,6,172820.498424,None
confuzzius,multi_gen,9,7,172817.08568,None
confuzzius,multi_gen,9,8,172818.565951,None
confuzzius,multi_gen,9,9,172821.568795,None
confuzzius,multi_man_complex,5,1,172827.936542,None
confuzzius,multi_man_complex,5,10,172825.595571,None
confuzzius,multi_man_complex,5,2,172826.716712,None
confuzzius,multi_man_complex,5,3,172826.441017,None
confuzzius,multi_man_complex,5,4,172823.921869,None
confuzzius,multi_man_complex,5,5,172824.464034,None
confuzzius,multi_man_complex,5,6,172827.217944,None
confuzzius,multi_man_complex,5,7,172824.651006,None
confuzzius,multi_man_complex,5,8,172826.195515,None
confuzzius,multi_man_complex,5,9,172827.710421,None
confuzzius,multi_man_complex,7,1,172825.092399,None
confuzzius,multi_man_complex,7,10,172838.560643,None
confuzzius,multi_man_complex,7,2,172819.772894,None
confuzzius,multi_man_complex,7,3,172824.469159,None
confuzzius,multi_man_complex,7,4,172826.592262,None
confuzzius,multi_man_complex,7,5,172821.631407,None
confuzzius,multi_man_complex,7,6,172821.209405,None
confuzzius,multi_man_complex,7,7,172826.283867,None
confuzzius,multi_man_complex,7,8,172823.326486,None
confuzzius,multi_man_complex,7,9,172821.950508,None
confuzzius,multi_man_complex,9,1,172826.50406,None
confuzzius,multi_man_complex,9,10,172821.786613,None
confuzzius,multi_man_complex,9,2,172824.384298,None
confuzzius,multi_man_complex,9,3,172818.650433,None
confuzzius,multi_man_complex,9,4,172824.478558,None
confuzzius,multi_man_complex,9,5,172824.975729,None
confuzzius,multi_man_complex,9,6,172823.760114,None
confuzzius,multi_man_complex,9,7,172822.922673,None
confuzzius,multi_man_complex,9,8,172823.353229,None
confuzzius,multi_man_complex,9,9,172831.960028,None
confuzzius,multi_simple,10,1,172828.458162,None
confuzzius,multi_simple,10,10,172848.824808,None
confuzzius,multi_simple,10,2,172828.800402,None
confuzzius,multi_simple,10,3,172835.108089,None
confuzzius,multi_simple,10,4,172846.545167,None
confuzzius,multi_simple,10,5,172829.312597,None
confuzzius,multi_simple,10,6,172828.007384,None
confuzzius,multi_simple,10,7,172829.551868,None
confuzzius,multi_simple,10,8,172828.122762,None
confuzzius,multi_simple,10,9,172831.346484,None
confuzzius,multi_simple,9,1,2733.322963,selfdestruct
confuzzius,multi_simple,9,10,965.537877,selfdestruct
confuzzius,multi_simple,9,2,52232.563566,selfdestruct
confuzzius,multi_simple,9,3,15749.362859,selfdestruct
confuzzius,multi_simple,9,4,3292.553468,selfdestruct
confuzzius,multi_simple,9,5,10292.472193,selfdestruct
confuzzius,multi_simple,9,6,44510.790688,selfdestruct
confuzzius,multi_simple,9,7,24742.54412,selfdestruct
confuzzius,multi_simple,9,8,15074.855631,selfdestruct
confuzzius,multi_simple,9,9,11964.462647,selfdestruct
echidna,justlen,128,1,879.741072,echidna_oracle
echidna,justlen,128,10,508.600555,echidna_oracle
echidna,justlen,128,2,591.023212,echidna_oracle
echidna,justlen,128,3,236.90668,echidna_oracle
echidna,justlen,128,4,2097.820299,echidna_oracle
echidna,justlen,128,5,424.888948,echidna_oracle
echidna,justlen,128,6,2548.817094,echidna_oracle
echidna,justlen,128,7,1866.208697,echidna_oracle
echidna,justlen,128,8,185.976757,echidna_oracle
echidna,justlen,128,9,776.099693,echidna_oracle
echidna,justlen,256,1,606.547149,echidna_oracle
echidna,justlen,256,10,1045.348875,echidna_oracle
echidna,justlen,256,2,10009.556833,echidna_oracle
echidna,justlen,256,3,6851.450959,echidna_oracle
echidna,justlen,256,4,21469.295203,echidna_oracle
echidna,justlen,256,5,3424.428465,echidna_oracle
echidna,justlen,256,6,4961.929815,echidna_oracle
echidna,justlen,256,7,10994.390726,echidna_oracle
echidna,justlen,256,8,1618.26154,echidna_oracle
echidna,justlen,256,9,436.24773,echidna_oracle
echidna,justlen,64,1,104.141062,echidna_oracle
echidna,justlen,64,10,142.641572,echidna_oracle
echidna,justlen,64,2,338.788158,echidna_oracle
echidna,justlen,64,3,137.390377,echidna_oracle
echidna,justlen,64,4,165.954907,echidna_oracle
echidna,justlen,64,5,180.83997,echidna_oracle
echidna,justlen,64,6,105.198911,echidna_oracle
echidna,justlen,64,7,397.31244,echidna_oracle
echidna,justlen,64,8,260.986995,echidna_oracle
echidna,justlen,64,9,105.003331,echidna_oracle
echidna,justlen,8,1,14.174128,echidna_oracle
echidna,justlen,8,10,17.432391,echidna_oracle
echidna,justlen,8,2,21.76038,echidna_oracle
echidna,justlen,8,3,18.421323,echidna_oracle
echidna,justlen,8,4,20.104898,echidna_oracle
echidna,justlen,8,5,13.267115,echidna_oracle
echidna,justlen,8,6,19.474238,echidna_oracle
echidna,justlen,8,7,18.697063,echidna_oracle
echidna,justlen,8,8,20.570106,echidna_oracle
echidna,justlen,8,9,19.944574,echidna_oracle
echidna,multi_gen,10,1,172802.089831,None
echidna,multi_gen,10,10,172802.705904,None
echidna,multi_gen,10,2,172802.570178,None
echidna,multi_gen,10,3,172803.0538,None
echidna,multi_gen,10,4,172802.410018,None
echidna,multi_gen,10,5,172802.14954,None
echidna,multi_gen,10,6,172802.425807,None
echidna,multi_gen,10,7,172802.517836,None
echidna,multi_gen,10,8,172802.279317,None
echidna,multi_gen,10,9,172802.609989,None
echidna,multi_gen,2,1,4.717759,echidna_oracle
echidna,multi_gen,2,10,5.851646,echidna_oracle
echidna,multi_gen,2,2,8.30899,echidna_oracle
echidna,multi_gen,2,3,8.187308,echidna_oracle
echidna,multi_gen,2,4,7.325473,echidna_oracle
echidna,multi_gen,2,5,5.397181,echidna_oracle
echidna,multi_gen,2,6,7.0202,echidna_oracle
echidna,multi_gen,2,7,6.264029,echidna_oracle
echidna,multi_gen,2,8,8.444892,echidna_oracle
echidna,multi_gen,2,9,8.474999,echidna_oracle
echidna,multi_gen,3,1,760.387629,echidna_oracle
echidna,multi_gen,3,10,2292.466868,echidna_oracle
echidna,multi_gen,3,2,55.717939,echidna_oracle
echidna,multi_gen,3,3,1549.958197,echidna_oracle
